fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2026-05-21,5346X,CARDEÑA,CORDOBA,720,24.2,0.0,15.3,01:18:00,33.1,15:58:00,,,,,,,,,,25.0,52.0,00:40:00,17.0,16:40:00
2026-05-21,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,960,20.8,0.0,16.4,05:17:00,25.1,12:05:00,08,1.4,5.0,12:20,,,,,,45.0,72.0,18:50:00,16.0,20:30:00
2026-05-21,1706A,ALLARIZ,OURENSE,492,19.8,0.0,9.9,02:52:00,29.6,12:27:00,,,,,,,,,,41.0,91.0,03:00:00,33.0,
2026-05-21,6069X,BENAHAVÍS,MALAGA,392,20.8,0.0,16.4,05:29:00,25.2,09:33:00,02,2.2,8.1,15:00,,,,,,38.0,53.0,23:59:00,32.0,08:40:00
2026-05-21,2742R,BUSTILLO DEL PÁRAMO,LEON,850,19.2,0.0,10.1,04:56:00,28.4,15:04:00,19,4.2,10.3,13:00,,,,,,45.0,83.0,04:50:00,31.0,15:50:00
2026-05-21,1082,BILBAO AEROPUERTO,BIZKAIA,42,24.2,0.0,13.8,02:41:00,34.5,13:55:00,09,3.1,8.9,08:41,,1020.2,00:00:00,1015.0,16:00:00,48.0,93.0,,26.0,13:24:00
2026-05-21,2290Y,PEDROSA DEL PRÍNCIPE,BURGOS,771,19.8,0.0,8.5,03:43:00,31.0,15:13:00,24,1.7,7.8,12:20,,,,,,47.0,92.0,04:40:00,23.0,16:50:00
2026-05-21,4325Y,CASTUERA,BADAJOZ,459,26.1,0.0,17.4,02:53:00,34.8,14:52:00,08,2.8,9.2,13:00,,,,,,20.0,43.0,02:50:00,15.0,
2026-05-21,3111D,SOMOSIERRA,MADRID,1450,16.8,0.0,10.5,01:50:00,23.1,15:40:00,,,,,,,,,,,56.0,01:50:00,29.0,
2026-05-21,1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,250,21.7,0.0,9.0,04:58:00,34.4,14:08:00,31,1.1,8.6,17:30,,,,,,52.0,99.0,,24.0,13:00:00
2026-05-21,0312X,SANT PAU DE SEGÚRIES,GIRONA,851,16.5,0.0,8.2,04:28:00,24.8,14:20:00,10,1.1,5.8,10:20,,,,,,67.0,100.0,,56.0,15:00:00
2026-05-21,1103X,SAN ROQUE DE RIOMIERA,CANTABRIA,849,20.4,0.0,13.5,00:19:00,27.4,15:10:00,21,5.0,11.4,12:20,,,,,,43.0,100.0,00:00:00,33.0,14:30:00
2026-05-21,9961X,CABACÉS,TARRAGONA,363,21.7,0.0,12.3,04:59:00,31.1,14:30:00,30,1.7,7.5,13:50,,,,,,47.0,75.0,06:10:00,32.0,16:30:00
2026-05-21,4452,BADAJOZ AEROPUERTO,BADAJOZ,186,26.1,0.0,14.9,05:20:00,37.3,15:00:00,12,2.8,9.2,11:00,12.9,1000.0,07:00:00,996.3,17:00:00,32.0,77.0,05:40:00,11.0,15:20:00
2026-05-21,3021Y,ZAOREJAS,GUADALAJARA,1250,19.7,0.0,12.8,04:47:00,26.6,16:15:00,21,3.6,10.3,09:10,,,,,,36.0,73.0,05:10:00,29.0,18:00:00
2026-05-21,9590,MARTINET  ,LLEIDA,1038,,0.0,,,,,,2.5,,,,,,,,55.0,,,,
2026-05-21,4236Y,PUERTO REY,CACERES,689,24.0,0.0,16.1,04:13:00,31.8,15:09:00,14,1.9,7.5,22:40,,,,,,28.0,55.0,00:00:00,18.0,18:00:00
2026-05-21,6281X,VÁLOR,GRANADA,1020,22.8,0.0,16.5,,29.2,12:46:00,,,,,,,,,,25.0,42.0,20:10:00,18.0,09:40:00
2026-05-21,9115X,VALDEZCARAY,LA RIOJA,1630,18.2,0.0,14.0,00:23:00,22.3,14:32:00,34,2.8,11.1,11:30,,,,,,38.0,68.0,00:00:00,27.0,13:00:00
2026-05-21,3337U,CEBREROS,AVILA,850,22.6,0.0,14.1,04:03:00,31.1,14:52:00,15,1.1,6.4,12:10,,,,,,31.0,62.0,00:50:00,26.0,15:10:00
2026-05-21,5107D,DÓLAR,GRANADA,1197,20.4,0.0,14.5,02:30:00,26.2,13:28:00,10,6.7,13.1,12:30,,,,,,,41.0,23:10:00,18.0,
2026-05-21,2512Y,RIVILLA DE BARAJAS,AVILA,925,21.5,0.0,13.5,03:21:00,29.5,16:32:00,24,2.5,7.2,10:20,,,,,,37.0,74.0,03:30:00,24.0,17:10:00
2026-05-21,C928I,VALVERDE,STA. CRUZ DE TENERIFE,670,15.2,0.0,12.7,,17.6,15:11:00,30,9.7,15.3,20:30,,,,,,90.0,99.0,05:10:00,68.0,11:10:00
2026-05-21,C648C,AGÜIMES,LAS PALMAS,306,19.4,0.0,14.2,05:24:00,24.5,13:57:00,18,2.8,7.8,12:30,,,,,,71.0,89.0,04:30:00,59.0,13:30:00
2026-05-21,9121X,HARO,LA RIOJA,465,22.0,0.0,12.5,04:50:00,31.6,15:16:00,,,,,,,,,,52.0,93.0,,34.0,17:40:00
2026-05-21,0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647,22.6,0.0,16.3,05:05:00,28.8,11:15:00,,,,,,,,,,44.0,70.0,05:30:00,30.0,
2026-05-21,9744B,VALL DE BOÍ,LLEIDA,1089,16.2,0.0,5.3,05:19:00,27.1,13:54:00,99,1.7,7.5,Varias,,,,,,53.0,95.0,05:50:00,31.0,10:10:00
2026-05-21,1399,VIMIANZO,A CORUÑA,287,17.9,0.0,11.9,23:58:00,23.9,15:29:00,,,,,,,,,,54.0,92.0,,39.0,13:00:00
2026-05-21,3503,GUIJO DE GRANADILLA,CACERES,393,23.3,0.0,13.9,05:13:00,32.7,16:54:00,18,1.7,7.2,12:50,,,,,,42.0,79.0,05:10:00,27.0,15:40:00
2026-05-21,9866C,BARBASTRO,HUESCA,305,22.3,0.0,11.6,04:47:00,33.0,16:14:00,99,1.1,5.0,Varias,,,,,,41.0,90.0,05:30:00,27.0,
2026-05-21,3547X,VALVERDE DEL FRESNO,CACERES,450,,0.0,,,,,,1.4,,,,,,,,45.0,,,,
2026-05-21,2930Y,NAVASFRÍAS,SALAMANCA,880,17.2,0.0,7.3,05:39:00,27.0,17:19:00,12,1.9,8.3,11:20,,,,,,58.0,99.0,06:50:00,34.0,17:00:00
2026-05-21,4300Y,ALMADÉN,CIUDAD REAL,535,25.9,0.0,16.7,05:33:00,35.1,13:56:00,08,1.1,7.8,22:30,,,,,,27.0,48.0,07:10:00,15.0,15:10:00
2026-05-21,9111,BELORADO,BURGOS,820,19.2,0.0,11.7,05:00:00,26.6,16:00:00,99,1.9,6.1,Varias,,,,,,55.0,90.0,05:00:00,39.0,16:00:00
2026-05-21,2456B,AREVALO,AVILA,820,21.1,0.0,11.1,04:39:00,31.1,14:41:00,14,3.1,9.2,16:30,,,,,,29.0,74.0,04:20:00,19.0,13:40:00
2026-05-21,9012E,SANTA GADEA DE ALFOZ,BURGOS,915,19.6,0.0,11.9,04:38:00,27.2,15:34:00,,,,,,,,,,56.0,98.0,04:40:00,28.0,15:30:00
2026-05-21,1583X,O BARCO DE VALDEORRAS,OURENSE,315,22.6,0.0,12.4,05:32:00,32.9,15:00:00,,,,,,,,,,41.0,81.0,04:10:00,21.0,
2026-05-21,9495Y,LECIÑENA,ZARAGOZA,405,23.4,0.0,14.0,05:20:00,32.7,16:32:00,10,1.1,7.5,01:10,,,,,,37.0,75.0,05:30:00,23.0,18:00:00
2026-05-21,3391,SOTILLO DE LA ADRADA,AVILA,630,,0.0,,,,,,2.2,,,,,,,,24.0,,,,
2026-05-21,5726X,GUADALCANAL,SEVILLA,720,23.5,0.0,13.8,03:19:00,33.2,16:18:00,99,3.1,8.3,Varias,,,,,,23.0,67.0,03:20:00,17.0,13:00:00
2026-05-21,B908X,SANT JOAN DE LABRITJA,ILLES BALEARS,110,19.9,0.0,9.8,03:58:00,30.0,12:44:00,,,,,,,,,,46.0,93.0,04:10:00,26.0,10:20:00
2026-05-21,9647X,TORÀ,LLEIDA,435,20.8,0.0,9.7,03:27:00,31.8,14:58:00,,,,,,,,,,49.0,94.0,05:30:00,29.0,14:00:00
2026-05-21,2507Y,RUEDA,VALLADOLID,724,22.0,0.0,12.4,04:38:00,31.5,15:30:00,22,2.2,8.9,14:20,,,,,,34.0,82.0,03:20:00,20.0,16:00:00
2026-05-21,4138Y,VILLANUEVA DE LOS INFANTES,CIUDAD REAL,900,22.0,0.0,12.7,02:57:00,31.4,13:40:00,10,2.8,7.8,10:20,,,,,,30.0,61.0,01:40:00,18.0,15:30:00
2026-05-21,2626Y,CUBILLAS DE RUEDA,LEON,916,18.2,0.0,8.6,04:25:00,27.8,16:22:00,20,1.7,7.2,13:30,,,,,,47.0,84.0,04:30:00,28.0,15:00:00
2026-05-21,2926B,BAÑOBÁREZ,SALAMANCA,748,,0.0,,,,,,2.5,,,,,,,,47.0,,,,
2026-05-21,8409X,LLÍRIA,VALENCIA,198,22.0,0.0,12.1,03:50:00,31.8,12:56:00,14,2.8,8.9,14:00,,,,,,40.0,90.0,00:20:00,24.0,14:20:00
2026-05-21,1410X,SOBRADO,A CORUÑA,500,17.4,0.0,9.5,,25.2,14:01:00,,,,,,,,,,59.0,99.0,03:50:00,46.0,15:40:00
2026-05-21,4427X,ZAFRA,BADAJOZ,433,23.2,0.0,12.0,05:28:00,34.5,16:34:00,13,2.8,12.5,14:20,,,,,,26.0,73.0,05:30:00,14.0,15:20:00
2026-05-21,6032X,RONDA INSTITUTO,MALAGA,760,23.0,0.0,18.0,05:06:00,27.9,13:29:00,16,2.8,10.3,10:10,,,,,,29.0,38.0,06:10:00,22.0,10:10:00
2026-05-21,0061X,PONTONS,BARCELONA,632,17.8,0.0,8.8,03:21:00,26.7,13:33:00,26,3.1,9.2,16:50,,,,,,33.0,73.0,00:00:00,23.0,13:50:00
2026-05-21,1468X,A ESTRADA,PONTEVEDRA,269,19.5,0.0,11.8,04:30:00,27.2,16:33:00,,,,,,,,,,55.0,97.0,04:10:00,41.0,14:30:00
2026-05-21,1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747,22.5,0.0,13.0,,32.0,15:18:00,,,,,,,,,,55.0,94.0,,27.0,
2026-05-21,9141V,NÁJERA,LA RIOJA,500,21.9,0.0,12.7,04:55:00,31.1,16:15:00,08,2.2,8.6,12:30,,,,,,56.0,92.0,05:10:00,38.0,16:20:00
2026-05-21,5304Y,PUERTOLLANO,CIUDAD REAL,665,22.9,0.0,12.8,05:01:00,33.0,15:37:00,14,1.7,5.8,10:50,,,,,,27.0,74.0,05:00:00,10.0,18:00:00
2026-05-21,9531Y,MONTALBÁN,TERUEL,895,21.2,0.0,12.6,06:02:00,29.8,13:16:00,27,0.6,7.2,14:10,,,,,,40.0,71.0,,26.0,13:00:00
2026-05-21,9707,LLIMIANA,LLEIDA,515,21.8,0.0,11.8,05:05:00,31.7,14:22:00,18,1.7,6.4,13:50,,,,,,42.0,83.0,06:10:00,24.0,17:00:00
2026-05-21,9374X,SANTA EULALIA DEL CAMPO,TERUEL,1000,19.6,0.0,9.7,04:03:00,29.4,16:04:00,16,3.3,8.9,13:50,,,,,,38.0,82.0,03:00:00,26.0,
2026-05-21,3254Y,MORA,TOLEDO,717,24.6,0.0,16.1,04:53:00,33.1,15:48:00,14,3.1,8.1,01:10,,,,,,27.0,49.0,,17.0,15:10:00
2026-05-21,1466A,SILLEDA,PONTEVEDRA,435,21.1,0.0,14.9,00:20:00,27.3,10:52:00,15,2.2,8.1,04:40,,,,,,48.0,76.0,00:20:00,33.0,18:50:00
2026-05-21,9726E,LLORAC,TARRAGONA,657,16.9,0.0,6.5,04:18:00,27.3,11:29:00,23,3.3,8.9,15:30,,,,,,45.0,96.0,04:40:00,32.0,14:20:00
2026-05-21,9901X,HUESCA,HUESCA,463,22.9,0.0,14.7,05:03:00,31.1,15:18:00,,,,,,,,,,42.0,70.0,05:00:00,29.0,16:50:00
2026-05-21,2891A,VILLARINO DE LOS AIRES,SALAMANCA,690,21.4,0.0,12.6,05:09:00,30.1,14:18:00,21,2.5,8.9,12:10,,,,,,48.0,84.0,05:00:00,34.0,14:20:00
2026-05-21,9698U,TALARN,LLEIDA,807,20.8,0.0,12.2,03:50:00,29.4,14:30:00,22,3.1,10.6,13:30,,,,,,45.0,87.0,04:50:00,28.0,14:30:00
2026-05-21,7031,SAN JAVIER AEROPUERTO,MURCIA,4,18.2,0.0,11.9,,24.5,,,,,,13.4,,,,,,,,,
2026-05-21,7023X,FUENTE ÁLAMO DE MURCIA,MURCIA,140,20.9,0.0,12.4,05:13:00,29.4,12:07:00,,,,,,,,,,37.0,65.0,05:20:00,23.0,11:50:00
2026-05-21,2966D,ALCAÑICES  ,ZAMORA,840,20.3,0.0,12.1,04:07:00,28.5,15:45:00,21,3.9,9.2,12:40,,,,,,45.0,83.0,04:10:00,31.0,14:20:00
2026-05-21,3229Y,TIELMES,MADRID,594,22.8,0.0,13.8,,31.8,14:24:00,,,,,,,,,,37.0,70.0,06:00:00,22.0,
2026-05-21,2863C,PEDRAZA DE ALBA  ,SALAMANCA,897,19.3,0.0,8.7,05:04:00,29.9,14:18:00,17,1.4,7.2,10:50,,,,,,41.0,91.0,,23.0,13:50:00
